,Epochs,Best ever for all nodes Layer .conv1,Best current for all nodes Layer .conv1,Best ever for all nodes Layer .fc,Best current for all nodes Layer .fc,Best ever for all nodes Layer .layer1.0,Best current for all nodes Layer .layer1.0,Best ever for all nodes Layer .layer1.1,Best current for all nodes Layer .layer1.1,Best ever for all nodes Layer .layer2.0,Best current for all nodes Layer .layer2.0,Best ever for all nodes Layer .layer2.1,Best current for all nodes Layer .layer2.1,Best ever for all nodes Layer .layer3.0,Best current for all nodes Layer .layer3.0,Best ever for all nodes Layer .layer3.1,Best current for all nodes Layer .layer3.1,Best ever for all nodes Layer .layer4.0,Best current for all nodes Layer .layer4.0,Best ever for all nodes Layer .layer4.1,Best current for all nodes Layer .layer4.1
0,0,0.05,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
1,1,0.05,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
2,2,0.05,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
3,3,0.06,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
4,4,0.06,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
5,5,0.06,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
6,6,0.06,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
7,7,0.06,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
8,8,0.10,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
9,9,0.10,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
10,10,0.05,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
11,11,0.06,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
12,12,0.06,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
13,13,0.06,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
14,0,NAN!,NAN!,0.03,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
15,1,NAN!,NAN!,0.03,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
16,2,NAN!,NAN!,0.03,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
17,3,NAN!,NAN!,0.03,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
18,4,NAN!,NAN!,0.03,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
19,5,NAN!,NAN!,0.03,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
20,6,NAN!,NAN!,0.03,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
21,7,NAN!,NAN!,0.03,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
22,8,NAN!,NAN!,0.03,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
23,9,NAN!,NAN!,0.03,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
24,10,NAN!,NAN!,0.02,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
25,11,NAN!,NAN!,0.02,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
26,12,NAN!,NAN!,0.02,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
27,13,NAN!,NAN!,0.02,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
28,0,NAN!,NAN!,NAN!,NAN!,0.09,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
29,1,NAN!,NAN!,NAN!,NAN!,0.09,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
30,2,NAN!,NAN!,NAN!,NAN!,0.09,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
31,3,NAN!,NAN!,NAN!,NAN!,0.09,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
32,4,NAN!,NAN!,NAN!,NAN!,0.09,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
33,5,NAN!,NAN!,NAN!,NAN!,0.09,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
34,6,NAN!,NAN!,NAN!,NAN!,0.09,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
35,7,NAN!,NAN!,NAN!,NAN!,0.09,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
36,8,NAN!,NAN!,NAN!,NAN!,0.13,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
37,9,NAN!,NAN!,NAN!,NAN!,0.13,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
38,10,NAN!,NAN!,NAN!,NAN!,0.05,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
39,11,NAN!,NAN!,NAN!,NAN!,0.07,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
40,12,NAN!,NAN!,NAN!,NAN!,0.07,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
41,13,NAN!,NAN!,NAN!,NAN!,0.08,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
42,0,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,0.07,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
43,1,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,0.07,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
44,2,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,0.07,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
45,3,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,0.07,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
46,4,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,0.07,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
47,5,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,0.07,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
48,6,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,0.07,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!,NAN!
